marker_symbol	expected_positive_groups	prior_confidence	prior_action	prior_evidence
ABCG2	HSC_MPP	0.95	vote	Stem/progenitor-associated transporter.
ALCAM	HSC_MPP	0.95	vote	ALCAM/CD166 supports primitive HSC-associated states; do not directly assign prior support to MEBEMP-L.
B3GAT1	NK/T	0.95	vote	CD57/B3GAT1 is associated with differentiated NK/T cells.
BST1	Monocyte	0.95	vote	BST1/CD157 is myeloid/monocyte-associated in this strict prior; do not directly assign prior support to GMP-L.
CCR2	Monocyte	0.95	vote	CCR2 is a monocyte chemokine receptor.
CCR5	Monocyte;NK/T	0.95	vote	CCR5 is commonly seen in T/NK and myeloid immune subsets.
CCR7	NK/T	0.95	vote	CCR7 is lymphoid trafficking-associated, strongest for T-cell contexts here; remove CLP direct prior support.
CD19	B	0.95	vote	CD19 is a canonical B-cell marker.
CD1D		0.95	no_vote	CD1D is APC-associated and not lineage-defining for B or Monocyte.
CD2	NK/T	0.95	vote	CD2 is a canonical T/NK marker.
CD22	B	0.95	vote	CD22 is a B-cell marker.
CD24	B;CLP	0.95	vote	CD24 is common on B/lymphoid progenitor populations.
CD27	B;NK/T	0.95	vote	CD27 marks lymphoid memory/activation states.
CD274	Monocyte	0.95	vote	CD274/PD-L1 is APC/myeloid activation-associated; remove GMP-L direct prior support.
CD28	NK/T	0.95	vote	CD28 is a T-cell co-stimulatory receptor.
CD34	HSC_MPP;MEBEMP-L	0.95	vote	CD34 is a canonical HSPC marker.
CD37	B	0.95	vote	CD37 is enriched on B cells.
CD38	B;CLP;GMP-L;MEBEMP-L	0.95	vote	CD38 marks lymphoid/B/plasma-like and committed progenitor compartments; it should not support primitive HSC_MPP.
CD3E	NK/T	0.95	vote	CD3E is a canonical T-cell marker.
CD4	Monocyte;NK/T	0.95	vote	CD4 is expressed by helper T cells and some monocytes.
CD40	B;Monocyte	0.95	vote	CD40 is expressed on B cells and antigen-presenting cells.
CD40LG	NK/T	0.95	vote	CD40LG/CD154 is a T-cell activation marker.
CD44		0.95	no_vote	CD44 is broadly hematopoietic/activation-associated; no strict lineage prior support.
CD46		0.95	no_vote	CD46 is broadly expressed across leukocytes; no strict lineage prior support.
CD47		0.95	no_vote	CD47 is broadly hematopoietic; no strict lineage prior support.
CD58		0.95	no_vote	CD58 is broadly immune-associated; no strict lineage prior support.
CD68	Monocyte	0.95	vote	CD68 is a monocyte/macrophage marker.
CD7	CLP;NK/T	0.95	vote	CD7 is associated with T/NK and lymphoid progenitors.
CD70	B;NK/T	0.95	vote	CD70 is an activation marker in lymphoid cells.
CD74	B;Monocyte	0.95	vote	CD74/MHC-II invariant chain marks antigen-presenting cells.
CD79B	B	0.95	vote	CD79B is a B-cell receptor component.
CD80		0.95	no_vote	CD80 is APC activation/co-stimulation-associated; no strict lineage prior support.
CD84		0.95	no_vote	CD84 is a broad SLAM-family immune marker; no strict lineage prior support.
CD8A	NK/T	0.95	vote	CD8A is a cytotoxic T/NK-associated marker.
CD93	HSC_MPP;Monocyte	0.95	vote	CD93 has progenitor/myeloid/endothelial contexts; remove MKP direct prior support.
CEACAM1	Monocyte	0.95	vote	CEACAM1/CD66a is commonly myeloid-associated.
CLEC4C		0.95	no_vote	CLEC4C/CD303 is a pDC marker; current label set lacks pDC, so no lineage prior support.
CR1	B;Monocyte	0.95	vote	CD35/CR1 is enriched on B and myeloid cells.
CR2	B	0.95	vote	CD21/CR2 is a B-cell marker.
CSF1R	Monocyte	0.95	vote	CSF1R/CD115 marks monocyte/macrophage lineage.
CSF2RA	GMP-L;Monocyte	0.95	vote	CSF2RA/CD116 is myeloid-associated.
CXCR3	NK/T	0.95	vote	CXCR3/CD183 is commonly enriched in activated T/NK cells.
CXCR5	B;NK/T	0.95	vote	CXCR5 supports B-cell and follicular helper T-like contexts; remove CLP direct prior support.
DPP4	NK/T	0.95	vote	CD26/DPP4 is common in activated T cells.
ENG	ERYP;MEBEMP-L	0.95	vote	ENG/CD105 is more consistent with erythroid/MEP-related progenitor context than strict HSC_MPP.
ENTPD1		0.95	no_vote	ENTPD1/CD39 is regulatory/activation-associated; no strict lineage prior support.
EPCAM		0.95	no_vote	EPCAM is not expected in hematopoietic populations.
FCAR	Monocyte	0.95	vote	FCAR/CD89 is mature myeloid-associated; remove GMP-L direct prior support.
FCER1A		0.95	no_vote	FCER1A is DC/basophil/mast-associated; current label set lacks a matching category.
FCER2	B	0.95	vote	CD23/FCER2 is a B-cell marker.
