feature_id	feature_name	target_class	human_gene_symbol	validation_assay	validation_feature	group_by	group_levels	expected_positive_groups	prior_method	prior_confidence	prior_evidence	observed_adt_positive_groups	observed_validation_high_groups	adt_validation_overlap_groups	expected_adt_overlap_groups	expected_validation_overlap_groups	n_expected_groups	n_observed_adt_groups	n_observed_validation_groups	needs_llm_review	needs_manual_review	review_reason
FADT0040	mAOC-CD45RA	cd45_isoform	PTPRC	CD45isoforms	PTPRC-RA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;GMP-L;NK/T	local_marker_prior	0.95	CD45RA/PTPRC-RA is expected in lymphoid and some progenitor/myeloid populations.	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	4	3	3	FALSE	FALSE	
FADT0041	mAOC-CD80	gene	CD80	RNA	CD80	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	CD80 is APC activation/co-stimulation-associated; no strict lineage prior support.	B;Monocyte;NK/T	B;MEBEMP-L;Monocyte	B;Monocyte			0	3	3	FALSE	FALSE	
FADT0042	mAOC-CD21	gene	CR2	RNA	CR2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD21/CR2 is a B-cell marker.	B;CLP;NK/T	B;Monocyte;NK/T	B;NK/T	B	B	1	3	3	FALSE	FALSE	
FADT0043	mAOC-CD19	gene	CD19	RNA	CD19	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD19 is a canonical B-cell marker.	B;MEBEMP-L;Monocyte	B;CLP;NK/T	B	B	B	1	3	3	FALSE	FALSE	
FADT0046	mAOC-CD4	gene	CD4	RNA	CD4	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	local_marker_prior	0.95	CD4 is expressed by helper T cells and some monocytes.	ERYP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	2	3	3	FALSE	FALSE	
FADT0158	mAOC-CD27	gene	CD27	RNA	CD27	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;NK/T	local_marker_prior	0.95	CD27 marks lymphoid memory/activation states.	B;MKP;NK/T	MKP;Monocyte;NK/T	MKP;NK/T	B;NK/T	NK/T	2	3	3	FALSE	FALSE	
FADT0159	mAOC-CD28	gene	CD28	RNA	CD28	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD28 is a T-cell co-stimulatory receptor.	B;Monocyte;NK/T	B;MKP;NK/T	B;NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
FADT0160	mAOC-CD161	gene	KLRB1	RNA	KLRB1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD161/KLRB1 is NK/T-associated.	B;Monocyte;NK/T	CLP;MKP;NK/T	NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
FADT0161	mAOC-CD38	gene	CD38	RNA	CD38	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;CLP;GMP-L;MEBEMP-L	local_marker_prior	0.95	CD38 marks lymphoid/B/plasma-like and committed progenitor compartments; it should not support primitive HSC_MPP.	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	ERYP;GMP-L;NK/T	GMP-L	GMP-L	4	3	3	FALSE	FALSE	
FADT0166	mAOC-CD1d	gene	CD1D	RNA	CD1D	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		local_marker_prior:no_vote	0.95	CD1D is APC-associated and not lineage-defining for B or Monocyte.	B;Monocyte;NK/T	CLP;GMP-L;Monocyte	Monocyte			0	3	3	FALSE	FALSE	
FADT0167	mAOC-CD22	gene	CD22	RNA	CD22	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B	local_marker_prior	0.95	CD22 is a B-cell marker.	B;CLP;NK/T	B;CLP;NK/T	B;CLP;NK/T	B	B	1	3	3	FALSE	FALSE	
FADT0170	Tag-ALFA	gene	Tag-ALFA	RNA	Tag-ALFA	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.95	Tag-ALFA is an engineered epitope tag and has no expected adult cHSPC lineage expression.	B;MKP;NK/T					0	3	0	FALSE	FALSE	
FADT0175	mAOC-CD340	gene	ERBB2	RNA	ERBB2	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T		llm_marker_prior:no_vote	0.90	ERBB2/CD340 is not a lineage-informative hematopoietic marker for the current adult cHSPC labels.	MKP;Monocyte;NK/T	CLP;HSC_MPP;MKP	MKP			0	3	3	FALSE	FALSE	
FADT0180	mAOC-CD86	gene	CD86	RNA	CD86	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;Monocyte	llm_marker_prior	0.85	CD86 is an APC co-stimulatory marker expected mainly on B cells and monocyte/APC-like cells in this label set.	CLP;Monocyte;NK/T	B;CLP;Monocyte	CLP;Monocyte	Monocyte	B;Monocyte	2	3	3	FALSE	FALSE	
FADT0186	mAOC-CD223	gene	LAG3	RNA	LAG3	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	LAG3/CD223 is a T/NK exhaustion/activation marker.	CLP;Monocyte;NK/T	GMP-L;HSC_MPP;MKP		NK/T		1	3	3	FALSE	TRUE	No observed validation-high group overlaps expected prior groups.
mAOC0297	mAOC-CD100	gene	SEMA4D	RNA	SEMA4D	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	B;NK/T	local_marker_prior	0.95	CD100/SEMA4D is lymphoid-associated.	ERYP;MEBEMP-L;MKP	CLP;GMP-L;Monocyte				2	3	3	FALSE	TRUE	No observed ADT-high group overlaps expected prior groups.
mAOC0301	mAOC-CD16	gene	FCGR3A	RNA	FCGR3A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	Monocyte;NK/T	local_marker_prior	0.95	CD16/FCGR3A is associated with monocytes and NK cells.	MKP;Monocyte;NK/T	MEBEMP-L;Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	Monocyte;NK/T	2	3	3	FALSE	FALSE	
mAOC0303	mAOC-CD56	gene	NCAM1	RNA	NCAM1	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD56/NCAM1 is a canonical NK marker.	MKP;Monocyte;NK/T	CLP;Monocyte;NK/T	Monocyte;NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0305	mAOC-CD8a	gene	CD8A	RNA	CD8A	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD8A is a cytotoxic T/NK-associated marker.	B;GMP-L;NK/T	GMP-L;HSC_MPP;NK/T	GMP-L;NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
mAOC0315	mAOC-CD3	gene	CD3E	RNA	CD3E	Adult_cHSPCs_Ultima_majority_voting	B;CLP;ERYP;GMP-L;HSC_MPP;MEBEMP-L;MKP;Monocyte;NK/T	NK/T	local_marker_prior	0.95	CD3E is a canonical T-cell marker.	B;MKP;NK/T	CLP;HSC_MPP;NK/T	NK/T	NK/T	NK/T	1	3	3	FALSE	FALSE	
